Player	Team	PS	GP	Min	FGM	FGA	3M	3A	FTM	FTA	OR	TR	AS	ST	TO	BK	PF	DQ	PTS	TC	EJ	FF	Sta
"lowry,kyle"	tor	PG	79	2861	457	1080	190	500	313	385	88	369	585	121	194	15	267	5	1417	10	0	0	79
"lucas,john"	uta	PG	42	589	62	190	25	84	10	16	12	39	42	14	22	0	41	0	159	0	0	0	6
"mack,shelvin"	atl	PG	73	1494	209	501	62	184	64	74	21	160	271	50	90	2	100	1	544	0	0	0	11
"mahinmi,ian"	ind	C	77	1253	91	189	0	1	90	145	107	257	25	41	58	72	207	1	272	1	0	0	1
"marion,shawn"	dal	SF	76	2407	341	708	58	162	51	65	132	497	124	90	95	37	125	0	791	1	0	0	76
"marshall,kendall"	lal	PG	55	1568	170	419	71	178	19	36	15	155	477	48	150	4	76	0	430	0	0	0	45
"martin,cartier"	atl	PF	53	825	106	256	56	146	46	61	12	105	32	26	33	7	68	0	314	0	0	0	6
"martin,cartier"	chi	SF	6	48	5	8	3	5	2	4	1	5	2	1	1	0	3	0	15	0	0	0	0
"martin,cartier"	tot	SF	59	873	111	264	59	151	48	65	13	110	34	27	34	7	71	0	329	0	0	0	6
"martin,kenyon"	nyk	PF	32	634	63	122	0	1	11	19	36	134	50	25	26	27	85	0	137	4	0	0	15
"martin,kevin"	min	SG	68	2174	440	1022	115	297	303	340	34	203	123	66	106	6	123	2	1298	3	0	0	68
"mason,roger"	mia	SG	25	261	25	66	17	47	7	7	1	22	19	6	9	1	26	0	74	0	0	0	2
"matthews,wesley"	por	SG	82	2783	445	1010	201	511	252	301	51	289	199	76	109	14	176	0	1343	7	0	0	82
"maxiell,jason"	orl	PF	34	487	47	105	0	0	15	31	28	86	9	8	14	20	47	0	109	0	0	0	13
"maynor,eric"	phi	PG	8	113	11	29	4	12	4	8	2	15	12	4	12	2	4	0	30	0	0	0	0
"maynor,eric"	was	PG	23	212	21	72	8	25	2	3	7	24	40	5	17	1	13	0	52	0	0	0	0
"maynor,eric"	tot	PG	31	325	32	101	12	37	6	11	9	39	52	9	29	3	17	0	82	0	0	0	0
"mayo,o.j."	mil	SG	52	1348	224	550	84	227	76	88	25	125	113	28	95	13	111	0	608	5	0	0	23
"mbah_a_moute,luc"	min	SF	55	807	72	161	3	14	37	54	47	119	21	22	36	9	50	1	184	0	0	0	2
"mbah_a_moute,luc"	sac	SF	9	195	15	32	1	3	9	13	9	27	15	9	4	5	18	1	40	0	0	0	5
"mbah_a_moute,luc"	tot	SF	64	1002	87	193	4	17	46	67	56	146	36	31	40	14	68	2	224	0	0	0	7
"mccallum,ray"	sac	PG	45	898	113	300	22	59	32	43	18	79	120	22	39	9	69	0	280	0	0	0	10
"mccollum,c.j."	por	PG	38	478	74	178	30	80	23	34	7	48	27	14	35	2	53	0	201	0	0	0	0
"mcgee,javale"	den	C	5	80	17	39	0	0	1	1	10	17	2	1	8	7	16	0	35	0	0	0	5
"mclemore,ben"	sac	SG	82	2185	255	679	95	297	115	143	53	235	83	45	96	18	201	1	720	2	0	0	55
"mcroberts,josh"	cha	PF	78	2365	247	566	105	291	62	85	85	373	334	58	83	46	189	0	661	3	0	0	78
"meeks,jodie"	lal	SG	77	2557	413	892	162	404	221	258	30	194	138	111	111	4	119	0	1209	0	0	0	70
"mekel,gal"	dal	PG	31	293	30	86	5	20	8	12	5	27	63	4	31	1	31	0	73	0	0	0	1
"middleton,khris"	mil	SF	82	2461	376	854	120	290	118	137	60	310	169	83	123	19	243	4	990	4	0	0	64
"miles,c.j."	cle	SG	51	987	178	409	83	211	64	75	18	103	52	46	44	15	103	0	503	0	0	0	34
"miller,andre"	den	PG	30	573	66	144	9	18	35	47	16	73	100	15	33	7	32	0	176	1	0	0	2
"miller,andre"	was	PG	28	415	40	87	2	3	25	30	12	57	97	19	28	2	43	1	107	0	0	0	0
"miller,andre"	tot	PG	58	988	106	231	11	21	60	77	28	130	197	34	61	9	75	1	283	1	0	0	2
"miller,darius"	nor	SF	45	726	73	166	25	77	29	36	9	52	43	23	22	9	88	0	200	0	0	0	7
"miller,mike"	mem	SF	82	1709	213	443	107	233	46	56	30	207	129	26	77	5	95	0	579	0	0	0	4
"miller,quincy"	den	SF	52	788	94	256	30	94	39	55	36	147	26	22	48	32	70	0	257	0	0	0	16
"mills,patty"	san	PG	81	1523	309	666	135	318	73	82	34	169	149	68	62	9	114	0	826	1	0	0	2
"millsap,paul"	atl	PF	74	2481	483	1047	76	212	286	391	154	627	232	129	185	78	210	3	1328	1	0	0	73
"mitchell,tony"	det	PF	21	84	5	12	1	1	11	19	15	26	2	6	4	3	9	0	22	0	0	0	0
"mitchell,tony_b"	mil	PF	3	10	3	5	0	1	0	0	1	1	1	1	0	0	0	0	6	0	0	0	0
"mohammed,nazr"	chi	C	80	562	54	126	0	0	16	30	66	175	20	14	37	30	77	0	124	1	0	0	1
"monroe,greg"	det	C	82	2693	504	1015	0	1	241	367	256	760	171	91	167	47	205	2	1249	8	0	0	82
"moore,e'twaun"	orl	SG	79	1506	195	456	57	161	52	68	29	136	112	60	55	13	106	0	499	0	0	0	3
"morris,darius"	lac	PG	9	47	4	10	0	5	0	0	0	4	4	1	2	0	9	0	8	0	0	0	0
"morris,darius"	mem	PG	5	65	6	16	2	7	1	3	4	8	8	3	6	0	3	0	15	0	0	0	0
"morris,darius"	phi	PG	12	193	29	67	10	24	15	21	3	13	31	8	19	0	21	0	83	0	0	0	0
"morris,darius"	tot	PG	26	305	39	93	12	36	16	24	7	25	43	12	27	0	33	0	106	0	0	0	0
"morris,marcus"	pho	PF	82	1800	288	651	99	260	121	159	84	319	88	72	95	18	157	0	796	7	0	0	1
"morris,markieff"	pho	PF	81	2151	411	845	34	108	259	327	139	485	143	68	147	51	232	2	1115	9	0	0	0
"morrow,anthony"	nor	SG	76	1427	238	520	88	195	72	87	29	140	59	39	51	13	102	0	636	0	0	0	9
"motiejunas,donat"	hou	PF	62	952	131	296	21	84	58	96	60	225	34	20	49	21	132	4	341	0	0	0	3
"moultrie,arnett"	phi	PF	12	188	16	38	0	0	4	5	11	35	2	8	7	4	22	0	36	0	0	0	2
"mozgov,timofey"	den	C	82	1774	285	545	4	24	196	260	171	528	62	27	122	100	213	3	770	5	0	0	30
"muhammad,shabazz"	min	SF	37	290	57	124	3	12	26	40	24	53	6	8	16	1	24	0	143	0	0	0	0
"mullens,byron"	lac	C	27	168	26	64	13	39	2	6	7	32	6	6	13	3	33	0	67	2	0	0	0
"mullens,byron"	phi	C	18	248	47	101	20	50	8	14	17	60	8	9	14	8	31	0	122	1	0	0	0
"mullens,byron"	tot	C	45	416	73	165	33	89	10	20	24	92	14	15	27	11	64	0	189	3	0	0	0
"murphy,erik"	chi	PF	23	65	3	13	0	3	0	0	2	8	2	0	2	4	7	0	6	0	0	0	0
"murry,toure'"	nyk	SG	51	373	56	129	5	12	23	39	13	44	49	19	34	1	46	0	140	0	0	0	0
"muscala,mike"	atl	C	20	215	31	73	0	3	14	14	17	52	7	3	12	10	29	0	76	0	0	0	0
"nash,steve"	lal	PG	15	313	36	94	8	24	22	24	4	29	86	7	31	2	18	0	102	0	0	0	10
"ndiaye,hamady"	sac	C	14	76	3	9	0	0	0	1	5	18	3	0	3	4	15	0	6	0	0	0	0
"neal,gary"	cha	PG	22	506	85	194	28	69	49	51	2	40	37	11	25	0	39	0	247	1	0	0	1
"neal,gary"	mil	PG	30	607	108	277	40	111	45	54	8	50	46	7	39	0	26	0	301	0	0	0	2
"neal,gary"	tot	PG	52	1113	193	471	68	180	94	105	10	90	83	18	64	0	65	0	548	1	0	0	3
"nedovic,nemanja"	gsw	SG	24	144	8	39	3	18	7	8	3	15	13	0	13	1	13	0	26	0	0	0	0
"nelson,jameer"	orl	PG	68	2176	294	747	136	391	96	112	29	231	476	52	166	5	146	1	820	3	0	0	68
"nicholson,andrew"	orl	PF	76	1172	180	420	28	89	47	57	53	255	25	18	51	23	150	2	435	1	0	0	5
"noah,joakim"	chi	C	80	2818	380	800	0	2	247	335	282	901	431	99	194	123	245	2	1007	12	0	0	80
"novak,steve"	tor	SF	54	545	60	146	52	122	6	6	8	58	13	12	5	4	44	0	178	0	0	0	1
"nowitzki,dirk"	dal	PF	80	2625	632	1272	131	329	338	376	40	498	216	73	118	45	165	1	1733	7	0	0	80
